"location_name","location_id","parent_id","level","path_to_top_parent","region_name","district_name","DLG_name","subcounty_name"
"South Buganda","IEU0FjDAhBP","akV6429SUqu",2,"akV6429SUqu,IEU0FjDAhBP",NA,NA,NA,NA
"West Nile","BD3XaQ7cQAp","akV6429SUqu",2,"akV6429SUqu,BD3XaQ7cQAp",NA,NA,NA,NA
"Lango","DWPnYhoqza0","akV6429SUqu",2,"akV6429SUqu,DWPnYhoqza0",NA,NA,NA,NA
"Bukedi","QBPg7KKCeoA","akV6429SUqu",2,"akV6429SUqu,QBPg7KKCeoA",NA,NA,NA,NA
"Karamoja","jdlbNUwJiKX","akV6429SUqu",2,"akV6429SUqu,jdlbNUwJiKX",NA,NA,NA,NA
"Ankole","F1o6qBSx783","akV6429SUqu",2,"akV6429SUqu,F1o6qBSx783",NA,NA,NA,NA
"Bunyoro","yx0ieyZNF0l","akV6429SUqu",2,"akV6429SUqu,yx0ieyZNF0l",NA,NA,NA,NA
"Acholi","SUvODYOcaVf","akV6429SUqu",2,"akV6429SUqu,SUvODYOcaVf",NA,NA,NA,NA
"Kampala","GIpyzaSuEgM","akV6429SUqu",2,"akV6429SUqu,GIpyzaSuEgM",NA,NA,NA,NA
"Busoga","Wd1lV9Qdj4o","akV6429SUqu",2,"akV6429SUqu,Wd1lV9Qdj4o",NA,NA,NA,NA
"Teso","r0GhWtmPHDj","akV6429SUqu",2,"akV6429SUqu,r0GhWtmPHDj",NA,NA,NA,NA
"Tooro","JZhJ50nOirX","akV6429SUqu",2,"akV6429SUqu,JZhJ50nOirX",NA,NA,NA,NA
"Kigezi","G0rlphd2tcD","akV6429SUqu",2,"akV6429SUqu,G0rlphd2tcD",NA,NA,NA,NA
"North Buganda","Dl9WvtvDs5V","akV6429SUqu",2,"akV6429SUqu,Dl9WvtvDs5V",NA,NA,NA,NA
"Bugisu","Dt6qdenPX1E","akV6429SUqu",2,"akV6429SUqu,Dt6qdenPX1E",NA,NA,NA,NA
"Masaka City","KJkbK1YhjFb","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb","South Buganda",NA,NA,NA
"Masaka District","bIONCoCnt3Q","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q","South Buganda",NA,NA,NA
"Lwengo District","aqpd0Y9eXZ2","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,aqpd0Y9eXZ2","South Buganda",NA,NA,NA
"Butambala District","a3LMKP8z8Xj","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,a3LMKP8z8Xj","South Buganda",NA,NA,NA
"Sembabule District","j7AQsnEYmvi","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,j7AQsnEYmvi","South Buganda",NA,NA,NA
"Gomba District","lQj3yMM1lI7","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,lQj3yMM1lI7","South Buganda",NA,NA,NA
"Bukomansimbi District","Ame30QOwuX6","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,Ame30QOwuX6","South Buganda",NA,NA,NA
"Mpigi District","YMMexeHFUay","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,YMMexeHFUay","South Buganda",NA,NA,NA
"Kyotera District","REJuxCmTwXG","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,REJuxCmTwXG","South Buganda",NA,NA,NA
"Wakiso District","aIahLLmtvgT","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT","South Buganda",NA,NA,NA
"Kalangala District","JrHILmtK0OU","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,JrHILmtK0OU","South Buganda",NA,NA,NA
"Kalungu District","ahyi8Uq4vaj","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,ahyi8Uq4vaj","South Buganda",NA,NA,NA
"Rakai District","P8iz90eiIrW","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,P8iz90eiIrW","South Buganda",NA,NA,NA
"Lyantonde District","aPRNSGUR3vk","IEU0FjDAhBP",3,"akV6429SUqu,IEU0FjDAhBP,aPRNSGUR3vk","South Buganda",NA,NA,NA
"Masaka City Council","bpHKNqEjSlI","KJkbK1YhjFb",4,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI","South Buganda","Masaka City",NA,NA
"Nyendo-Mukungwe Division","GohrmmbKC1I","bpHKNqEjSlI",5,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I","South Buganda","Masaka City","Masaka City Council",NA
"Kimaanya-Kabonera Division","kJJUf7GAjjD","bpHKNqEjSlI",5,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD","South Buganda","Masaka City","Masaka City Council",NA
"Kako Health Centre III","XFvdRnq6Nee","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,XFvdRnq6Nee","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Kiyumba Health Centre IV","AjaGtzC8woM","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,AjaGtzC8woM","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
